"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",1
"9",1
"10",1
"11",1
"12",1
"13",0
"14",0
"15",0
"16",1
"17",0
"18",1
"19",1
"20",1
"21",0
"22",0
"23",1
"24",0
"25",0
"26",1
"27",1
"28",0
"29",1
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",1
"37",0
"38",1
"39",1
"40",1
"41",0
"42",1
"43",1
"44",0
"45",0
"46",1
"47",1
"48",0
"49",1
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1
"57",0
"58",0
"59",1
"60",1
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",1
"72",1
"73",0
"74",0
"75",0
"76",1
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",1
"86",0
"87",1
"88",0
"89",1
"90",1
"91",1
"92",1
"93",0
"94",0
"95",0
"96",0
"97",1
"98",0
"99",1
"100",0
"101",1
"102",1
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",1
"115",1
"116",1
"117",1
"118",0
"119",0
"120",1
"121",1
"122",0
"123",0
"124",0
"125",0
"126",1
"127",0
"128",1
"129",0
"130",0
"131",1
"132",0
"133",0
"134",0
"135",1
"136",1
"137",0
"138",1
"139",0
"140",1
"141",1
"142",1
"143",0
"144",0
"145",0
"146",1
"147",1
"148",0
"149",0
"150",0
"151",0
"152",0
"153",1
"154",0
"155",1
"156",1
"157",1
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",1
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",1
"173",0
"174",0
"175",0
"176",0
"177",1
"178",1
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1
"186",0
"187",0
"188",0
"189",1
"190",1
"191",0
"192",1
"193",1
"194",1
"195",0
"196",0
"197",0
"198",1
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",1
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",1
"217",1
"218",0
"219",1
"220",1
"221",1
"222",0
"223",0
"224",1
