"","x"
"1",1
"2",0
"3",0
"4",1
"5",1
"6",1
"7",1
"8",0
"9",0
"10",0
"11",0
"12",0
"13",1
"14",1
"15",0
"16",1
"17",1
"18",0
"19",1
"20",1
"21",0
"22",0
"23",0
"24",1
"25",0
"26",0
"27",1
"28",0
"29",0
"30",1
"31",1
"32",0
"33",1
"34",0
"35",0
"36",0
"37",1
"38",1
"39",1
"40",1
"41",1
"42",0
"43",0
"44",0
"45",1
"46",1
"47",0
"48",1
"49",1
"50",0
"51",0
"52",0
"53",1
"54",1
"55",1
"56",0
"57",1
"58",0
"59",1
"60",1
"61",1
"62",1
"63",0
"64",1
"65",0
"66",1
"67",1
"68",1
"69",1
"70",0
"71",1
"72",1
"73",1
"74",0
"75",1
"76",0
"77",1
"78",0
"79",1
"80",1
"81",0
"82",0
"83",0
"84",0
"85",1
"86",1
"87",1
"88",0
"89",1
"90",0
"91",1
"92",1
"93",1
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",1
"101",0
"102",1
"103",0
"104",1
"105",1
"106",1
"107",1
"108",1
"109",0
"110",1
"111",0
"112",1
"113",0
"114",1
"115",1
"116",1
"117",1
"118",0
"119",1
"120",1
"121",0
"122",0
"123",0
"124",0
"125",1
"126",1
"127",0
"128",1
"129",0
"130",1
"131",0
"132",0
"133",1
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",0
"141",0
"142",0
"143",0
"144",0
"145",1
"146",0
"147",0
"148",1
"149",1
"150",0
"151",1
"152",0
"153",0
"154",1
"155",1
"156",0
"157",1
"158",1
"159",1
"160",1
"161",0
"162",1
"163",0
"164",0
"165",1
"166",1
